ADM2CD_c,NAM_2,NAM_1,communications__telephone,communications__internet,communications__newspaper,communications__radio,communications__television,communications__none,foodinsecurity__went_without_food,foodinsecurity__unable_eat_healthy,foodinsecurity__few_types_of_food,foodinsecurity__skipped_meal,foodinsecurity__ate_less_than_needed,foodinsecurity__ran_out_of_food,foodinsecurity__hungry_did_not_eat,foodinsecurity__without_food_all_day,foodinsecurity__food_insec_scale,infra__electricity,infra__water_storage,infra__veterinarians,infra__banking,infra__mech_agri_equip,infra__agri_schools,infra__primary_schools,infra__field_schools,infra__health_units,infra__agri_stock,outflow__none,outflow__difficult_access_to_village,outflow__insufficient_transport,outflow__lack_conservation_infra,outflow__high_transport_cost,outflow__lack_transport_means,outflow__other,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,productions__diff_access_land,productions__unavailable_agri_land,productions__diff_access_water,productions__rural_exodus,productions__diff_dispose_products,productions__lack_rain,productions__lack_agri_equipment,productions__lack_tech_assist,productions__lack_manpower,productions__diff_access_credit,traveltime__avg_minutes_to_market_financial,waterresources__rivers,waterresources__streams,waterresources__lakes,waterresources__lagoons,waterresources__wells
AGO009001,Bailundo,Huambo,0.48,0.076,0.002,0.9109999999999999,0.406,0.067,0.804,0.27,0.792,0.742,0.73,0.662,0.599,0.406,0.626,0.267,0.205,0.23199999999999998,0.0,0.008,0.0,0.379,0.285,0.067,0.005,0.005,0.77,0.903,0.78,0.847,0.263,0.039,0.608,0.366,0.551,0.052000000000000005,0.045,0.27699999999999997,0.131,0.633,0.107,0.973,0.8340000000000001,0.153,0.614,105.83684904,0.43799999999999994,0.732,0.018000000000000002,0.05,0.037000000000000005
AGO009002,Caala,Huambo,0.924,0.226,0.037000000000000005,0.9690000000000001,0.511,0.012,0.809,0.23600000000000002,0.762,0.763,0.774,0.71,0.677,0.5720000000000001,0.6629999999999999,0.376,0.47100000000000003,0.327,0.003,0.049,0.015,0.6729999999999999,0.59,0.15,0.031,0.012,0.52,0.746,0.67,0.841,0.21100000000000002,0.006,0.635,0.424,0.527,0.107,0.10400000000000001,0.26899999999999996,0.165,0.486,0.174,0.902,0.6970000000000001,0.138,0.48,71.6504499,0.505,0.44,0.024,0.055,0.107
AGO009003,Ekunha,Huambo,0.602,0.205,0.03,0.94,0.337,0.042,0.856,0.237,0.812,0.81,0.802,0.727,0.69,0.5479999999999999,0.685,0.163,0.21100000000000002,0.5660000000000001,0.006,0.018000000000000002,0.018000000000000002,0.687,0.669,0.096,0.012,0.042,0.512,0.741,0.542,0.807,0.271,0.0,0.6829999999999999,0.556,0.6609999999999999,0.096,0.024,0.235,0.18100000000000002,0.48200000000000004,0.301,0.7170000000000001,0.41,0.102,0.40399999999999997,61.163333099999996,0.675,0.542,0.018000000000000002,0.066,0.054000000000000006
AGO009004,Huambo,Huambo,0.9359999999999999,0.324,0.07200000000000001,0.968,0.7240000000000001,0.008,0.8140000000000001,0.205,0.8340000000000001,0.848,0.821,0.6890000000000001,0.7020000000000001,0.483,0.675,0.12,0.11599999999999999,0.32,0.0,0.012,0.052000000000000005,0.41600000000000004,0.5479999999999999,0.16,0.008,0.016,0.588,0.828,0.892,0.84,0.632,0.10400000000000001,0.509,0.17300000000000001,0.228,0.21600000000000003,0.3,0.6559999999999999,0.22,0.764,0.38799999999999996,0.9520000000000001,0.852,0.35200000000000004,0.86,39.248919,0.66,0.652,0.084,0.096,0.076
AGO009005,Katchiungo,Huambo,0.654,0.07200000000000001,0.01,0.9420000000000001,0.385,0.048,0.818,0.28800000000000003,0.728,0.7440000000000001,0.728,0.6809999999999999,0.625,0.439,0.63,0.519,0.034,0.14400000000000002,0.0,0.317,0.0,0.615,0.7070000000000001,0.096,0.005,0.024,0.5529999999999999,0.846,0.856,0.9129999999999999,0.721,0.01,0.649,0.42100000000000004,0.598,0.159,0.07200000000000001,0.6829999999999999,0.428,0.856,0.322,0.981,0.9470000000000001,0.27399999999999997,0.938,91.71686831999999,0.7120000000000001,0.524,0.10099999999999999,0.087,0.057999999999999996
AGO009006,Londuimbali,Huambo,0.8140000000000001,0.318,0.033,0.9640000000000001,0.635,0.015,0.8690000000000001,0.248,0.78,0.784,0.754,0.664,0.634,0.419,0.644,0.04,0.055,0.34700000000000003,0.006999999999999999,0.018000000000000002,0.026000000000000002,0.32799999999999996,0.606,0.091,0.004,0.018000000000000002,0.675,0.828,0.92,0.934,0.62,0.0,0.65,0.528,0.619,0.255,0.215,0.39399999999999996,0.387,0.77,0.365,0.927,0.88,0.409,0.92,351.73291548,0.723,0.8540000000000001,0.131,0.131,0.051
AGO009007,Longonjo,Huambo,0.5579999999999999,0.066,0.0,0.863,0.365,0.081,0.934,0.18,0.85,0.856,0.86,0.764,0.7909999999999999,0.5870000000000001,0.73,0.264,0.142,0.447,0.005,0.066,0.0,0.508,0.401,0.147,0.01,0.01,0.716,0.853,0.919,0.919,0.594,0.005,0.616,0.505,0.586,0.203,0.102,0.5529999999999999,0.299,0.8270000000000001,0.299,0.9640000000000001,0.888,0.284,0.929,286.18988958,0.716,0.614,0.086,0.071,0.051
AGO009008,Mungo,Huambo,0.5670000000000001,0.07,0.013999999999999999,0.961,0.087,0.022000000000000002,0.851,0.332,0.823,0.7959999999999999,0.7929999999999999,0.718,0.679,0.504,0.6920000000000001,0.031,0.5589999999999999,0.078,0.0,0.034,0.013999999999999999,0.223,0.344,0.042,0.017,0.006,0.6509999999999999,0.8240000000000001,0.715,0.8440000000000001,0.545,0.0,0.6729999999999999,0.62,0.6629999999999999,0.011000000000000001,0.034,0.237,0.475,0.55,0.223,0.9329999999999999,0.626,0.35200000000000004,0.483,182.18201652,0.595,0.589,0.013999999999999999,0.017,0.027999999999999997
AGO009009,Tchikala-tcholoanga,Huambo,0.557,0.043,0.005,0.9840000000000001,0.255,0.016,0.843,0.23600000000000002,0.747,0.7170000000000001,0.71,0.636,0.637,0.49200000000000005,0.631,0.09,0.054000000000000006,0.465,0.0,0.008,0.005,0.402,0.522,0.133,0.005,0.03,0.69,0.785,0.413,0.8320000000000001,0.318,0.0,0.657,0.414,0.645,0.011000000000000001,0.008,0.158,0.12,0.386,0.11699999999999999,0.764,0.451,0.245,0.397,89.5840062,0.595,0.649,0.005,0.03,0.079
AGO009010,Tchindjenje,Huambo,0.46799999999999997,0.23399999999999999,0.018000000000000002,0.9009999999999999,0.198,0.081,0.825,0.264,0.758,0.755,0.715,0.675,0.631,0.384,0.627,0.036000000000000004,0.622,0.171,0.009000000000000001,0.027000000000000003,0.018000000000000002,0.667,0.495,0.10800000000000001,0.009000000000000001,0.099,0.541,0.8109999999999999,0.82,0.82,0.7929999999999999,0.0,0.667,0.37799999999999995,0.603,0.21600000000000003,0.27899999999999997,0.568,0.802,0.685,0.27,0.865,0.847,0.622,0.847,124.77558246,0.532,0.7659999999999999,0.0,0.036000000000000004,0.063
AGO009011,Ukuma,Huambo,0.44299999999999995,0.10800000000000001,0.019,0.9109999999999999,0.595,0.019,0.912,0.203,0.835,0.8240000000000001,0.8340000000000001,0.7340000000000001,0.6970000000000001,0.502,0.695,0.259,0.222,0.43700000000000006,0.013000000000000001,0.057,0.0,0.29100000000000004,0.272,0.158,0.006,0.006,0.823,0.905,0.753,0.867,0.392,0.032,0.6409999999999999,0.48200000000000004,0.579,0.158,0.051,0.285,0.361,0.835,0.196,0.9490000000000001,0.804,0.228,0.722,41.66050686,0.652,0.772,0.032,0.057,0.038
